cod_grupo_edad,edad_min,edad_max,tipo,orden
TOTAL,0,,total,0
0-4,0,4,quinquenal,1
5-9,5,9,quinquenal,2
10-14,10,14,quinquenal,3
15-19,15,19,quinquenal,4
20-24,20,24,quinquenal,5
25-29,25,29,quinquenal,6
30-34,30,34,quinquenal,7
35-39,35,39,quinquenal,8
40-44,40,44,quinquenal,9
45-49,45,49,quinquenal,10
50-54,50,54,quinquenal,11
55-59,55,59,quinquenal,12
60-64,60,64,quinquenal,13
65-69,65,69,quinquenal,14
70-74,70,74,quinquenal,15
75-79,75,79,quinquenal,16
80-84,80,84,quinquenal,17
85+,85,,quinquenal,18
0-14,0,14,agregado,19
15-64,15,64,agregado,20
65+,65,,agregado,21
